Record Date,Ex-Date,Payable Date,Total Distribution,Income,ST Cap Gains,LT Cap Gains,Return of Capital
"Jul 01, 2025","Jul 01, 2025","Jul 07, 2025",0.33,0.33,0.00,0.00,0.00
"Jun 02, 2025","Jun 02, 2025","Jun 05, 2025",0.32,0.32,0.00,0.00,0.00
"May 01, 2025","May 01, 2025","May 06, 2025",0.33,0.33,0.00,0.00,0.00
"Apr 01, 2025","Apr 01, 2025","Apr 04, 2025",0.33,0.33,0.00,0.00,0.00
"Mar 03, 2025","Mar 03, 2025","Mar 06, 2025",0.29,0.29,0.00,0.00,0.00
"Feb 03, 2025","Feb 03, 2025","Feb 06, 2025",0.31,0.31,0.00,0.00,0.00
"Dec 18, 2024","Dec 18, 2024","Dec 23, 2024",0.35,0.35,0.00,0.00,0.00
"Dec 02, 2024","Dec 02, 2024","Dec 05, 2024",0.33,0.33,0.00,0.00,0.00
"Nov 01, 2024","Nov 01, 2024","Nov 06, 2024",0.31,0.31,0.00,0.00,0.00
"Oct 01, 2024","Oct 01, 2024","Oct 04, 2024",0.32,0.32,0.00,0.00,0.00
"Sep 03, 2024","Sep 03, 2024","Sep 06, 2024",0.31,0.31,0.00,0.00,0.00
"Aug 01, 2024","Aug 01, 2024","Aug 06, 2024",0.31,0.31,0.00,0.00,0.00
"Jul 01, 2024","Jul 01, 2024","Jul 05, 2024",0.29,0.29,0.00,0.00,0.00
"Jun 03, 2024","Jun 03, 2024","Jun 07, 2024",0.31,0.31,0.00,0.00,0.00
"May 02, 2024","May 01, 2024","May 07, 2024",0.31,0.31,0.00,0.00,0.00
"Apr 02, 2024","Apr 01, 2024","Apr 05, 2024",0.31,0.31,0.00,0.00,0.00
"Mar 04, 2024","Mar 01, 2024","Mar 07, 2024",0.30,0.30,0.00,0.00,0.00
"Feb 02, 2024","Feb 01, 2024","Feb 07, 2024",0.31,0.31,0.00,0.00,0.00
"Dec 15, 2023","Dec 14, 2023","Dec 20, 2023",0.31,0.31,0.00,0.00,0.00
"Dec 04, 2023","Dec 01, 2023","Dec 07, 2023",0.29,0.29,0.00,0.00,0.00
"Nov 02, 2023","Nov 01, 2023","Nov 07, 2023",0.29,0.29,0.00,0.00,0.00
"Oct 03, 2023","Oct 02, 2023","Oct 06, 2023",0.28,0.28,0.00,0.00,0.00
"Sep 05, 2023","Sep 01, 2023","Sep 08, 2023",0.29,0.29,0.00,0.00,0.00
"Aug 02, 2023","Aug 01, 2023","Aug 07, 2023",0.28,0.28,0.00,0.00,0.00
"Jul 05, 2023","Jul 03, 2023","Jul 10, 2023",0.28,0.28,0.00,0.00,0.00
"Jun 02, 2023","Jun 01, 2023","Jun 07, 2023",0.27,0.27,0.00,0.00,0.00
"May 02, 2023","May 01, 2023","May 05, 2023",0.27,0.27,0.00,0.00,0.00
"Apr 04, 2023","Apr 03, 2023","Apr 07, 2023",0.27,0.27,0.00,0.00,0.00
"Mar 02, 2023","Mar 01, 2023","Mar 07, 2023",0.25,0.25,0.00,0.00,0.00
"Feb 02, 2023","Feb 01, 2023","Feb 07, 2023",0.28,0.28,0.00,0.00,0.00
"Dec 16, 2022","Dec 15, 2022","Dec 21, 2022",0.26,0.26,0.00,0.00,0.00
"Dec 02, 2022","Dec 01, 2022","Dec 07, 2022",0.24,0.24,0.00,0.00,0.00
"Nov 02, 2022","Nov 01, 2022","Nov 07, 2022",0.24,0.24,0.00,0.00,0.00
"Oct 04, 2022","Oct 03, 2022","Oct 07, 2022",0.24,0.24,0.00,0.00,0.00
"Sep 02, 2022","Sep 01, 2022","Sep 08, 2022",0.24,0.24,0.00,0.00,0.00
"Aug 02, 2022","Aug 01, 2022","Aug 05, 2022",0.21,0.21,0.00,0.00,0.00
"Jul 05, 2022","Jul 01, 2022","Jul 08, 2022",0.23,0.23,0.00,0.00,0.00
"Jun 02, 2022","Jun 01, 2022","Jun 07, 2022",0.21,0.21,0.00,0.00,0.00
"May 03, 2022","May 02, 2022","May 06, 2022",0.20,0.20,0.00,0.00,0.00
"Apr 04, 2022","Apr 01, 2022","Apr 07, 2022",0.20,0.20,0.00,0.00,0.00
"Mar 02, 2022","Mar 01, 2022","Mar 07, 2022",0.18,0.18,0.00,0.00,0.00
"Feb 02, 2022","Feb 01, 2022","Feb 07, 2022",0.20,0.20,0.00,0.00,0.00
"Dec 17, 2021","Dec 16, 2021","Dec 22, 2021",0.17,0.17,0.00,0.00,0.00
"Dec 02, 2021","Dec 01, 2021","Dec 07, 2021",0.18,0.18,0.00,0.00,0.00
"Nov 02, 2021","Nov 01, 2021","Nov 05, 2021",0.19,0.19,0.00,0.00,0.00
"Oct 04, 2021","Oct 01, 2021","Oct 07, 2021",0.18,0.18,0.00,0.00,0.00
"Sep 02, 2021","Sep 01, 2021","Sep 08, 2021",0.19,0.19,0.00,0.00,0.00
"Aug 03, 2021","Aug 02, 2021","Aug 06, 2021",0.18,0.18,0.00,0.00,0.00
"Jul 02, 2021","Jul 01, 2021","Jul 08, 2021",0.19,0.19,0.00,0.00,0.00
"Jun 02, 2021","Jun 01, 2021","Jun 07, 2021",0.20,0.20,0.00,0.00,0.00
"May 04, 2021","May 03, 2021","May 07, 2021",0.20,0.20,0.00,0.00,0.00
"Apr 05, 2021","Apr 01, 2021","Apr 08, 2021",0.19,0.19,0.00,0.00,0.00
"Mar 02, 2021","Mar 01, 2021","Mar 05, 2021",0.17,0.17,0.00,0.00,0.00
"Feb 02, 2021","Feb 01, 2021","Feb 05, 2021",0.18,0.18,0.00,0.00,0.00
"Dec 18, 2020","Dec 17, 2020","Dec 23, 2020",0.16,0.16,0.00,0.00,0.00
